timeStamp,eventType,isMouse,klmId,argument
1622047506.4997575,keyStroke,False,k,1
1622047506.7509413,keyStroke,False,k,0
1622047507.3538516,keyStroke,False,k,+
1622047507.5261838,keyStroke,False,k,1
1622047507.6996913,keyStroke,False,k,1
1622047508.0465777,keyStroke,False,k,+
1622047508.2256033,keyStroke,False,k,1
1622047508.731924,keyStroke,False,k,2
1622047509.0137634,keyStroke,False,k,+
1622047509.211013,keyStroke,False,k,1
1622047509.8438444,keyStroke,False,k,3
1622047510.075159,keyStroke,False,k,+
1622047510.5830827,keyStroke,False,k,1
1622047510.7497349,keyStroke,False,k,5
1622047514.134642,mouseMove,True,Px,)
1622047514.1485386,mouseMove,True,Px,(
1622047514.1845653,mouseMove,True,Px,1
1622047514.302461,mouseMove,True,Px,(
1622047514.3286743,mouseMove,True,Px,Clear
1622047514.5170982,mouseMove,True,Px,Clear
1622047515.8414798,mouseClick,True,B,Clear
1622047515.8494194,task_restarted,,,1
1622047516.5275204,keyStroke,False,k,1
1622047516.7046154,keyStroke,False,k,+
1622047516.9753726,keyStroke,False,k,2
1622047517.3245573,keyStroke,False,k,+
1622047517.5193527,keyStroke,False,k,3
1622047517.8734016,keyStroke,False,k,+
1622047518.0877578,keyStroke,False,k,4
1622047518.4461913,keyStroke,False,k,+
1622047518.6656191,keyStroke,False,k,5
1622047519.0172987,keyStroke,False,k,+
1622047519.3177729,keyStroke,False,k,6
1622047519.7237356,keyStroke,False,k,+
1622047520.0689578,keyStroke,False,k,7
1622047520.5239778,keyStroke,False,k,+
1622047521.085834,keyStroke,False,k,8
1622047521.3545492,keyStroke,False,k,+
1622047522.0028977,keyStroke,False,k,9
1622047522.412151,keyStroke,False,k,+
1622047522.7219548,keyStroke,False,k,1
1622047522.986448,keyStroke,False,k,0
1622047523.6123495,keyStroke,False,k,+
1622047523.7473712,keyStroke,False,k,1
1622047523.925596,keyStroke,False,k,1
1622047524.2304783,keyStroke,False,k,+
1622047524.428489,keyStroke,False,k,1
1622047524.679345,keyStroke,False,k,2
1622047524.974461,keyStroke,False,k,+
1622047525.5028043,keyStroke,False,k,1
1622047525.8851001,keyStroke,False,k,3
1622047526.5660663,keyStroke,False,k,+
1622047526.73779,keyStroke,False,k,1
1622047527.066301,keyStroke,False,k,4
1622047527.53326,keyStroke,False,k,+
1622047527.8443048,keyStroke,False,k,1
1622047528.0032966,keyStroke,False,k,5
1622047528.6476965,keyStroke,False,k,+
1622047528.829496,keyStroke,False,k,1
1622047529.0841768,keyStroke,False,k,6
1622047529.51934,keyStroke,False,k,+
1622047529.7370539,keyStroke,False,k,1
1622047529.9749048,keyStroke,False,k,7
1622047530.6834543,keyStroke,False,k,+
1622047530.9213521,keyStroke,False,k,1
1622047531.0933912,keyStroke,False,k,8
1622047531.5368562,keyStroke,False,k,+
1622047531.7775128,keyStroke,False,k,1
1622047531.9465482,keyStroke,False,k,9
1622047532.5972426,keyStroke,False,k,+
1622047532.9491394,keyStroke,False,k,2
1622047533.7046528,keyStroke,False,k,0
1622047535.4679224,keyStroke,False,k,=
1622047535.4745607,task_finished,,,1
